date,average_sentiment_vader
2024-03-26,0.6147833333333333
2024-03-27,0.3100636363636364
2024-03-28,0.48971666666666663
2024-03-29,0.38100999999999996
2024-03-30,0.4871
2024-03-31,0.6909
2024-04-01,0.40586
2024-04-02,0.2794055555555556
2024-04-03,0.49915
2024-04-04,0.4760333333333333
2024-04-05,0.4239
2024-04-06,0.49483999999999995
2024-04-07,0.632775
2024-04-08,0.3947928571428571
2024-04-09,0.3952681818181818
2024-04-10,0.39163333333333333
2024-04-11,0.391725
2024-04-12,0.47487727272727276
2024-04-13,0.3877375
2024-04-14,0.3113
2024-04-15,0.329625
2024-04-16,0.4307846153846154
2024-04-17,0.5370090909090909
2024-04-18,0.5578909090909091
2024-04-19,0.3655875
2024-04-20,0.17570000000000002
2024-04-21,0.4452
2024-04-22,0.43335
2024-04-23,0.5248807692307692
2024-04-24,0.5414272727272728
2024-04-25,0.31613928571428573
2024-04-26,0.4297571428571429
2024-04-27,0.67
2024-04-29,0.44495909090909086
2024-04-30,0.3317045454545455
2024-05-01,0.4186875
2024-05-02,0.5164150000000001
2024-05-03,0.4193
2024-05-04,0.62765
2024-05-05,0.52455
2024-05-06,0.50877
2024-05-07,0.5006954545454545
2024-05-08,0.41335
2024-05-09,0.463605
2024-05-10,0.41837777777777774
2024-05-11,0.5852999999999999
2024-05-12,0.47213333333333335
2024-05-13,0.42668636363636364
2024-05-14,0.44863181818181813
2024-05-15,0.394095
2024-05-16,0.3824
2024-05-17,0.4719555555555556
2024-05-18,0.5
2024-05-19,0.6806
2024-05-20,0.46571818181818175
2024-05-21,0.3329388888888889
2024-05-22,0.3609363636363636
2024-05-23,0.5769318181818183
2024-05-24,0.41720833333333335
2024-05-25,0.12495
2024-05-26,0.2505
2024-05-27,0.5552
2024-05-28,0.45158928571428575
2024-05-29,0.498825
2024-05-30,0.5015
2024-05-31,0.39413888888888887
2024-06-01,0.5669833333333333
2024-06-02,0.81845
2024-06-03,0.41150000000000003
2024-06-04,0.32235
2024-06-05,0.4044535714285714
2024-06-06,0.33903750000000005
2024-06-07,0.36778999999999995
2024-06-08,0.5
2024-06-09,0.316225
2024-06-10,0.53225
2024-06-11,0.4230590909090909
2024-06-12,0.3973909090909091
2024-06-13,0.36747916666666663
2024-06-14,0.37605
2024-06-16,0.5640000000000001
2024-06-17,0.5218375000000001
2024-06-18,0.3029590909090909
2024-06-19,0.5055111111111111
2024-06-20,0.44144375
2024-06-21,0.3247833333333333
2024-06-24,0.28929
2024-06-25,0.48016363636363635
2024-06-26,0.3632166666666667
