date;open;high;low;close;range;pct_change;rel_volatility
2024-05-09;2,302e-05;2,321e-05;2,235e-05;2,257e-05;8,6e-07;-1,954822;0,037752
2024-05-13;2,254e-05;2,374e-05;2,216e-05;2,232e-05;1,58e-06;-0,976043;0,068845
2024-05-17;2,232e-05;2,576e-05;2,164e-05;2,452e-05;4,12e-06;9,856631;0,17384
2024-05-21;2,456e-05;2,599e-05;2,36e-05;2,599e-05;2,39e-06;5,822476;0,09639
2024-05-25;2,605e-05;2,663e-05;2,364e-05;2,438e-05;2,99e-06;-6,410749;0,118958
2024-05-29;2,44e-05;2,72e-05;2,421e-05;2,666e-05;2,99e-06;9,262295;0,11632
2024-06-02;2,669e-05;2,927e-05;2,491e-05;2,528e-05;4,36e-06;-5,282877;0,160945
2024-06-06;2,527e-05;2,623e-05;2,369e-05;2,593e-05;2,54e-06;2,611793;0,101763
2024-06-10;2,589e-05;2,613e-05;2,251e-05;2,35e-05;3,62e-06;-9,231363;0,148849
2024-06-14;2,349e-05;2,358e-05;2,104e-05;2,117e-05;2,54e-06;-9,876543;0,11385
2024-06-18;2,118e-05;2,188e-05;1,887e-05;1,929e-05;3,01e-06;-8,923513;0,14773
2024-06-22;1,932e-05;1,933e-05;1,74e-05;1,784e-05;1,93e-06;-7,660455;0,105091
2024-06-26;1,786e-05;1,829e-05;1,646e-05;1,774e-05;1,83e-06;-0,671892;0,105324
2024-06-30;1,774e-05;1,807e-05;1,683e-05;1,687e-05;1,24e-06;-4,904171;0,07106
2024-07-04;1,688e-05;1,755e-05;1,615e-05;1,639e-05;1,4e-06;-2,902844;0,083086
2024-07-08;1,637e-05;1,75e-05;1,293e-05;1,547e-05;4,57e-06;-5,497862;0,300361
2024-07-12;1,548e-05;1,707e-05;1,481e-05;1,623e-05;2,26e-06;4,844961;0,141782
2024-07-16;1,623e-05;1,933e-05;1,581e-05;1,933e-05;3,52e-06;19,100431;0,200341
2024-07-20;1,934e-05;2,016e-05;1,695e-05;1,783e-05;3,21e-06;-7,807653;0,172999
2024-07-24;1,782e-05;1,847e-05;1,681e-05;1,707e-05;1,66e-06;-4,208754;0,094104
2024-07-28;1,706e-05;1,759e-05;1,587e-05;1,708e-05;1,72e-06;0,117233;0,102809
2024-08-01;1,698e-05;1,729e-05;1,583e-05;1,593e-05;1,46e-06;-6,183746;0,088164
2024-08-05;1,592e-05;1,601e-05;1,302e-05;1,33e-05;2,99e-06;-16,457286;0,205994
2024-08-09;1,335e-05;1,436e-05;1,089e-05;1,431e-05;3,47e-06;7,191011;0,274851
2024-08-13;1,43e-05;1,462e-05;1,33e-05;1,392e-05;1,32e-06;-2,657343;0,094556
2024-08-17;1,392e-05;1,404e-05;1,296e-05;1,321e-05;1,08e-06;-5,100575;0,08
2024-08-21;1,322e-05;1,391e-05;1,301e-05;1,365e-05;9e-07;3,252648;0,066865
2024-08-25;1,364e-05;1,609e-05;1,352e-05;1,564e-05;2,57e-06;14,662757;0,17359
2024-08-29;1,563e-05;1,563e-05;1,346e-05;1,386e-05;2,17e-06;-11,324376;0,149192
2024-09-02;1,384e-05;1,452e-05;1,31e-05;1,316e-05;1,42e-06;-4,913295;0,102824
2024-09-06;1,315e-05;1,384e-05;1,254e-05;1,319e-05;1,3e-06;0,304183;0,09856
2024-09-10;1,319e-05;1,376e-05;1,243e-05;1,354e-05;1,33e-06;2,653525;0,101565
